type,properties/PCODE,properties/PNAME,properties/DCODE,properties/DNAME,properties/CCODE,properties/CNAME,properties/VCODE,properties/VNAME,properties/ODCODE,properties/ODNAME,properties/FACILITCOD,properties/FACILITNAM,properties/COVERNAME,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/PNAME_km,properties/VNAME_km,properties/FACILITNAM_km
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10402.0,Chob Veari,1040202.0,Roul Chruk,103,Preah Net Preah,10307,Chob Veari,"Chob Veari, Meankam, 16 Vill",Point,303724.94149082934,1507835.5084056098,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10403.0,Phnum Lieb,1040302.0,Phnum Lieb Lech,103,Preah Net Preah,10305,Phnum Lieb,"Phnum Lieb, Commune, 16 Vill",Point,322239.93310101132,1503736.4920393967,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10404.0,Prasat,1040410.0,Tumloab,103,Preah Net Preah,10308,Prasat,"Prasat, Commune, 14 Vill",Point,327177.92424272059,1494895.4896119258,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10405.0,Preah Netr Preah,1040502.0,Cheung Voat,103,Preah Net Preah,10303,Preah Netr Preah,"Preah Netr Preah, Commune, 14 Vill",Point,303136.93760245061,1503763.5100464248,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10406.0,Rohal,1040602.0,Sala Chheh,103,Preah Net Preah,10304,Rohal,"Rohal, Commune, 11 Vill",Point,307903.9389706467,1506341.5047224152,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10408.0,Tuek Chour,1040812.0,Ta Siev,103,Preah Net Preah,10306,Tuek Chour,"Tuek Chour, Commune, 18 Vill",Point,327031.93301595398,1504905.4875248517,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10502.0,Koub,1050202.0,Mak Heun,102,Ou Chrov,10207,Koub,"Koub, Samroag, 22 Vill",Point,259622.95018265108,1505325.5575334118,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10506.0,Souphi,1050603.0,Souphi Tboung,102,Ou Chrov,10205,Souphi,"Souphi, Changka, Commune, 12 Vill",Point,265642.95295548823,1509004.5492949765,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10501.0,Changha,1050103.0,Ta Phaok,102,Ou Chrov,10209,Soengh,"Changha, Commune , 9 Vill",Point,268557.96054221265,1516221.5436449263,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10508.0,Paoy Paet,1050801.0,Kbal Spean,102,Ou Chrov,10202,Paoy Paet I,"Paoy Paet, Commune , 5 Vill",Point,235403.96472143754,1511371.5864809416,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10508.0,Paoy Paet,1050806.0,Ou Ruessei,102,Ou Chrov,10204,Ou Russei,"Paoy Paet, Commune, 3 Vill",Point,243737.96612993421,1514417.5745907438,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10509.0,Ou Beichoan,1050909.0,Thnal Bat,102,Ou Chrov,10208,Ou Bei Choan,"Ou Bei Choun, 11 Vill",Point,255223.97381967126,1523608.5569481857,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10407.0,Bos Sbov,1040704.0,Bos Sbov,103,Preah Net Preah,10314,Bos Sbov,"Bos Sbov, Commune, 16 Vill",Point,288911.94997197273,1512188.5223214817,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10602.0,Kampong Svay,1060203.0,Phum Pir,101,Mongkol Borei,10106,Kampong Svay,"Kampong Svay, Commune, 5 Vill",Point,279550.94465458841,1504978.5345103804,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10604.0,Mkak,1060401.0,Mkak,101,Mongkol Borei,10102,Mkak,"Mkak, Commune, 7 Vill",Point,279252.95245312288,1511927.5328680731,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10605.0,Ou Ambel,1060505.0,Ou Ambel,101,Mongkol Borei,10104,Ou Ambel,"Ou Ambel,  Commune, 5 Vill",Point,278566.942662446,1502972.5361295496,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10606.0,Phniet,1060604.0,Neak Ta,101,Mongkol Borei,10107,Phniet,"Phniet, --- Commune 11 Vill",Point,287687.9406892499,1503180.526111006,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10607.0,Preah Ponlea,1060702.0,Phum Muoy,101,Mongkol Borei,10108,Preah Ponlea,"Preah Ponlea, Commune ,7 Vill",Point,280839.94241187954,1503243.533537247,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10608.0,Tuek Thla,1060803.0,Tuek Thla,101,Mongkol Borei,10105,Tuek Thla,"Tuek Thla, Commune, 6 Vill",Point,276595.94325734407,1503075.5383118454,,,
Feature,1,Banteay Meanchey,107,Thma Puok,10701.0,Banteay Chhmar,1070111.0,Srah Chrey,104,Thmar Puok,10405,Banteay Chhmar,"Banteay Chhmar, Commune, 14 Vill",Point,294521.9931024363,1555879.4987135741,,,
Feature,1,Banteay Meanchey,107,Thma Puok,10702.0,Kouk Romiet,1070215.0,Banteay Mean Rit,104,Thmar Puok,10406,Beung Trakuon,"Kouk Romiet, Commune, 10 Vill",Point,269101.99643246795,1547539.5302740128,,,
Feature,1,Banteay Meanchey,107,Thma Puok,10702.0,Kouk Romiet,1070203.0,Kouk Romiet,104,Thmar Puok,10404,Kouk Romiet,"Kouk Romiet, Commune 10 Vill",Point,277579.99362189544,1548587.5202603387,,,
Feature,1,Banteay Meanchey,107,Thma Puok,10704.0,Thma Puok,1070404.0,Kasen,104,Thmar Puok,10402,Kum Rou,"2 Commune, 13 Village",Point,289411.98158061819,1542368.5104911742,,,
Feature,1,Banteay Meanchey,108,Svay Chek,10803.0,Sla Kram,1080308.0,Khlaeng Poar Tboung,104,Thmar Puok,10410,Sla Kram,"Sla Kram, Commune, 8 Vill",Point,279658.96104748547,1519803.5298879896,,,
Feature,1,Banteay Meanchey,108,Svay Chek,10806.0,Ta Phou,1080601.0,Ta Phou,104,Thmar Puok,10411,Ta Phou,"Ta Phou, --, Commune, 17 Vill",Point,289115.96148008353,1523123.5185389589,,,
Feature,1,Banteay Meanchey,108,Svay Chek,10807.0,Treas,1080706.0,Treas,104,Thmar Puok,10408,Treas,"Treas, Commune, 9 Vill",Point,283621.97338811483,1532408.5208794058,,,
Feature,1,Banteay Meanchey,108,Svay Chek,10808.0,Roluos,1080806.0,Roluos,104,Thmar Puok,10409,Svay Chek,"Roluos, --, Commune, 24 Vill",Point,279937.96900478692,1527112.5269530108,,,
Feature,1,Banteay Meanchey,109,Malai,10902.0,Malai,1090203.0,Kandal,102,Ou Chrov,10210,Malai,"Malai,   Commune, 21 Vill",Point,214793.95773967705,1502085.6178156857,,,
Feature,1,Banteay Meanchey,109,Malai,10906.0,Ta Kong,1090602.0,Ballangk,102,Ou Chrov,10212,Ballangk,"Ta Kong, Commune, 6 Vill",Point,254382.93314569641,1490498.5675368223,,,
Feature,2,Battambang,201,Banan,20104.0,Chheu Teal,2010407.0,Bay Damram,204,Bat Dambang,20412,Chheu Teal,"Chheu Teal communce, Bat Dambang commune",Point,300469.87064930273,1437501.5180910437,,,
Feature,2,Battambang,201,Banan,20104.0,Chheu Teal,2010415.0,Anlok Kaong,204,Bat Dambang,20413,Kantueu II,"Kantueu II, Kantueu I, Chheu Teal, Bay Damram Commune",Point,298795.86587708845,1433087.5193800093,,,
Feature,2,Battambang,201,Banan,20105.0,Chaeng Mean Chey,2010506.0,Changhour Svay,204,Bat Dambang,20405,Chaeng Mean Chey,Chaeng Mean Chey Commune. 7 Vill,Point,294190.85531554226,1423741.5229729493,,,
Feature,2,Battambang,201,Banan,20106.0,Phnum Sampov,2010604.0,Phnum Sampov Lech,204,Bat Dambang,20416,Phnum Sampov,"Phnum Sampov Commune, 10 Vill",Point,293692.87374861538,1441034.5254775675,,,
Feature,2,Battambang,201,Banan,20107.0,Snoeng,2010704.0,Snoeng Kaeut,204,Bat Dambang,20414,Snoeng,"Snoeng Commune, 11 Vill",Point,288612.86597406719,1434300.530389087,,,
Feature,2,Battambang,201,Banan,20108.0,Ta Kream,2010802.0,Ta Kream,204,Bat Dambang,20415,Ta Kream,"Ta Kream Commune, 11 Vill",Point,289651.87718873622,1444492.5300259227,,,
Feature,2,Battambang,202,Thma Koul,20201.0,Ta Pung,2020103.0,Kaksekam,201,Thmar Koul,20108,Ta Pung,"Ta Pung,Commune, 7 Vill",Point,293014.9011054922,1466766.5262465412,,,
Feature,2,Battambang,202,Thma Koul,20201.0,Ta Pung,2020107.0,Tumpung Tboung,201,Thmar Koul,20109,Ta Meun,"Ta Meun, Commune 10 Vill",Point,300383.90173607157,1467755.5185257334,,,
Feature,2,Battambang,202,Thma Koul,20203.0,Ou Ta Ki,2020301.0,Ou Ta Ki,201,Thmar Koul,20106,Ou Ta Ki,"Ou Ta Ki, Commune, 8 Vill",Point,295966.88743257237,1453859.5235357995,,,
Feature,2,Battambang,202,Thma Koul,20204.0,Chrey,2020407.0,Hai San,204,Bat Dambang,20409,Chrey,"Chrey Commun, 10 Vill",Point,298337.88351382979,1450052.5210115793,,,
Feature,3,Kampong Cham,306,Kampong Siem,30609.0,Krala,3060905.0,Trapeang Chrey,303,Kampong Cham,30312,Krala,Krala and O Svay commune,Point,542452.92396142043,1331430.3768094131,,,
Feature,3,Kampong Cham,306,Kampong Siem,30614.0,Trean,3061411.0,Tuol Trach,303,Kampong Cham,30313,Trean,Trean and Srork commune,Point,546690.92638473713,1333311.3791304647,,,
Feature,3,Kampong Cham,306,Kampong Siem,30615.0,Vihear Thum,3061503.0,Kouk Kream,303,Kampong Cham,30311,Vihear Thum,Vihea Thum,Point,540254.92326231906,1327727.3737109648,,,
Feature,3,Kampong Cham,307,Kang Meas,30701.0,Angkor Ban,3070103.0,Angkor Ban Ti Bei,308,Prey Chhor,30815,Angkor Ban,"Angkor Ban, Peam chi kang communes (11 villages)",Point,524382.91296142549,1320951.3659411352,,,
Feature,3,Kampong Cham,307,Kang Meas,30704.0,Peam Chi Kang,3070403.0,Peam Chi Kang,308,Prey Chhor,30813,Peam Chi Kang,"Peam chi kang, Rokar Koy communes (11 villages)",Point,529288.91666840145,1320550.366363551,,,
Feature,3,Kampong Cham,307,Kang Meas,30706.0,Preaek Krabau,3070601.0,Pou Sala Ti Muoy,308,Prey Chhor,30814,Preaek Krabau,"Preaek Krabau, Peam chi kang communes (11 villages)",Point,528997.91585178825,1324374.3691563657,,,
Feature,3,Kampong Cham,307,Kang Meas,30708.0,Roka Ar,3070806.0,Chrouy Krabau Ti Pir,309,Srei Santhor,30912,Roka Ar,"Kang Ta Noeng, Roka Ar communes (16 villages)",Point,513000.90516469313,1311497.3574156589,,,
Feature,3,Kampong Cham,307,Kang Meas,30710.0,Sdau,3071005.0,Lvea Kraom,309,Srei Santhor,30913,Sdau,"Sdau, Preaek koy, Kang Ta noeng communes (11 villages)",Point,500562.89526611939,1310980.3565130651,,,
Feature,3,Kampong Cham,307,Kang Meas,30711.0,Sour Kong,3071101.0,Kaoh Ta Ngao Ti Muoy,308,Prey Chhor,30816,Sour Kong,Sour Kong commune (11 villages),Point,521233.910538355,1321673.3660860569,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30801.0,Kampong Reab,3080104.0,Kampong Reab Kraom,303,Kampong Cham,30319,Kampong Reab,Kampong Reab commune (8 villages),Point,540125.92546668753,1317155.3658397242,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30802.0,Kaoh Soutin,3080204.0,Phum Ti Buon,303,Kampong Cham,30316,Kaoh Soutin,Kaoh Soutin commune (14 villages),Point,546988.93057791621,1317589.367809644,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30803.0,Lve,3080304.0,Bat Srei Totueng,303,Kampong Cham,30318,Lve,Lve commune (10 villages),Point,542473.92912282003,1309051.359947558,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30804.0,Moha Leaph,3080402.0,Moha Leaph Cheung,306,O Reang Ov,30609,Pongro-Moha Leap,"Pongro,Moha Leaph communes (18 villages)",Point,546171.93128506234,1312294.3634596434,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30805.0,Moha Khnhoung,3080504.0,Kampong Chamlang,303,Kampong Cham,30315,Moha Khnhoung,Moha Khnhoung commune (9 villages),Point,534718.9210955631,1318495.3657588016,,,
Feature,2,Battambang,202,Thma Koul,20205.0,Anlong Run,2020501.0,Char,201,Thmar Koul,20107,Anlong Run,"Anlong Run,Commune, 5 Vill",Point,287068.89043176605,1456702.533044345,,,
Feature,2,Battambang,202,Thma Koul,20206.0,Chrouy Sdau,2020602.0,Nikom Krau,201,Thmar Koul,20105,Chrouy Sdau,"Chrouy Sdau,Commune, 3 Vill",Point,292330.90970135073,1474829.5262792225,,,
Feature,2,Battambang,202,Thma Koul,20207.0,Boeng Pring,2020701.0,Boeng Pring,201,Thmar Koul,20104,Boeng Pring,"Boeng Pring, Commune,  4 Vill",Point,287226.91398704355,1478330.5313339657,,,
Feature,2,Battambang,202,Thma Koul,20208.0,Kouk Khmum,2020805.0,Kouk Khmum,201,Thmar Koul,20110,Kouk Khmum,"Kouk Khmum, Commune, 8 Vill",Point,289988.90244006366,1467857.5293963712,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30806.0,Peam Prathnuoh,3080601.0,Phsar Thmei,303,Kampong Cham,30317,Peam Prathnuoh,Peam Prathnuoh commune (13 villages),Point,546912.93133958708,1314369.3652898469,,,
Feature,3,Kampong Cham,308,Kaoh Soutin,30808.0,Preaek Ta Nong,3080802.0,Phum Ti Pir,303,Kampong Cham,30314,Preaek Ta Nong,Preaek Ta Nong commune (13 villages),Point,530386.91819364473,1316251.3632565534,,,
Feature,3,Kampong Cham,309,Krouch Chhmar,30903.0,Kampong Treas,3090302.0,Phum Ti Pir,304,Kroch Chhmar,30408,Kampong Treas,"Kampong Treas, Kaoh Pir communes (10 villages)",Point,559836.93294926907,1340355.3875944829,,,
Feature,3,Kampong Cham,309,Krouch Chhmar,30905.0,Krouch Chhmar,3090503.0,Krouch Chhmar Leu,304,Kroch Chhmar,30406,Praches Kandal,"Krouch Chhmar, Trea communes (8 villages)",Point,567297.93086552643,1359221.4013056147,,,
Feature,3,Kampong Cham,309,Krouch Chhmar,30907.0,Peus Pir,3090702.0,Peus,304,Kroch Chhmar,30404,Peus Pir,"Peus Muoy, Peus Pir communes",Point,575973.93730096496,1354680.4021401582,,,
Feature,3,Kampong Cham,309,Krouch Chhmar,30909.0,Roka Khnaor,3090905.0,Phum Ti Pram,304,Kroch Chhmar,30403,Roka Khnaor,"Roka Khnaor, Chumnik communes",Point,582744.94133607275,1354006.4046478516,,,
Feature,3,Kampong Cham,310,Memot,31001.0,Chan Mul,3100105.0,Chan Mul,305,Memut,30505,Chan Mul,"Roung, Choam and Chan Mul commune",Point,635227.01092556771,1298100.3959018243,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31622.0,Tonle Bet,3162211.0,Tonle Bet Kraom,303,Kampong Cham,30321,Tonle Bet,"Tonle Bet, Chirou Muoy",Point,552020.93280289241,1323223.3734071751,,,
Feature,3,Kampong Cham,310,Memot,31004.0,Choam Ta Mau,3100409.0,Thma Totueng Cheung,305,Memut,30508,Thma Totueng,"Choam Tamao, Memong and Tra Maung commune",Point,635427.99914654461,1314307.4092388069,,,
Feature,3,Kampong Cham,310,Memot,31005.0,Dar,3100505.0,Dar Phsar,305,Memut,30506,Dar Phsar,Dar commune,Point,618263.99326422054,1303273.3885133907,,,
Feature,3,Kampong Cham,310,Memot,31006.0,Kampoan,3100607.0,Chhloung Muoy,305,Memut,30507,Kampoan,Kampoan and Koki commune,Point,617340.9837115102,1317065.3989054461,,,
Feature,3,Kampong Cham,310,Memot,31008.0,Memot,3100810.0,Tboung Voat,305,Memut,30502,Memot,Memut and Trieak commune,Point,628484.99826512265,1308066.3993312323,,,
Feature,3,Kampong Cham,306,Kampong Siem,30605.0,Kaoh Mitt,3060502.0,Kaoh Paen Kha,303,Kampong Cham,30308,Kaoh Mitt,Kaoh Mitt,Point,549280.93134467455,1321223.3711658404,,,
Feature,3,Kampong Cham,310,Memot,31013.0,Tramung,3101304.0,Choam Triek,305,Memut,30503,Choam Treak,Tramoung and Roung commune,Point,629904.00025812676,1306831.3993333911,,,
Feature,3,Kampong Cham,310,Memot,31014.0,Tonlung,3101411.0,Pong Tuek,305,Memut,30509,Sla,Tonlung and Choam Kravien commune,Point,641651.00596843602,1311524.4117744737,,,
Feature,2,Battambang,202,Thma Koul,20210.0,Rung Chrey,2021006.0,Rung Chrey,201,Thmar Koul,20103,Rung Chrey,"Rung Chrey,Commune, 7 Vill",Point,281619.90196785633,1466977.5386205565,,,
Feature,3,Kampong Cham,310,Memot,31015.0,Treak,3101507.0,Samraong Tbong,305,Memut,30504,Samraong,"Triek, Dar, Memot and Roung commune",Point,621948.99523485452,1304846.3922375247,,,
Feature,3,Kampong Cham,311,Ou Reang Ov,31101.0,Ampil Ta Pok,3110117.0,Lekh Buon Kaeut,306,O Reang Ov,30606,Ampil Ta Pok,Village,Point,554821.94051078509,1304158.359195896,,,
Feature,3,Kampong Cham,311,Ou Reang Ov,31102.0,Chak,3110207.0,Chak,306,O Reang Ov,30604,Chak,Chak and Tuol Sophy commune,Point,565019.94977802713,1301853.3605992168,,,
Feature,3,Kampong Cham,311,Ou Reang Ov,31104.0,Kong Chey,3110407.0,Thnal Kaeng,306,O Reang Ov,30603,Thnal Kaeng,Kong Chey and Tuol Sophy commune,Point,556941.94324053358,1301028.3571897002,,,
Feature,3,Kampong Cham,311,Ou Reang Ov,31104.0,Kong Chey,3110422.0,Srae Spey,306,O Reang Ov,30602,Srae Spey,Village,Point,558083.94246831653,1306522.3621768493,,,
Feature,3,Kampong Cham,311,Ou Reang Ov,31105.0,Mien,3110513.0,Thma Samlieng,306,O Reang Ov,30607,Mien,Village,Point,548359.93479152769,1305505.3584929579,,,
Feature,3,Kampong Cham,312,Ponhea Kraek,31202.0,Doun Tei,3120214.0,Reul Kraom,307,Ponhea Krek,30710,Daun Tei,Village,Point,578427.96213068219,1299268.363657783,,,
Feature,3,Kampong Cham,312,Ponhea Kraek,31203.0,Kak,3120304.0,Ponley,307,Ponhea Krek,30711,Ponley,Village,Point,585346.96915138979,1296832.3646472751,,,
Feature,3,Kampong Cham,312,Ponhea Kraek,31204.0,Kandaol Chrum,3120401.0,Kandaol Chrum,307,Ponhea Krek,30709,Kandaol Chrum,Village,Point,585667.96446970839,1307450.3737918998,,,
Feature,3,Kampong Cham,312,Ponhea Kraek,31206.0,Kraek,3120604.0,Chimoan Cheung,307,Ponhea Krek,30703,Kraek I,Village,Point,602606.98129045498,1301691.3777234936,,,
Feature,3,Kampong Cham,312,Ponhea Kraek,31208.0,Trapeang Phlong,3120804.0,Trapeang Pring Ti Pir,307,Ponhea Krek,30702,Trapeang Pring,Village,Point,603660.98365401663,1299062.376075262,,,
Feature,2,Battambang,203,Bat Dambang,20305.0,Sla Kaet,2030502.0,Dam Spey,204,Bat Dambang,20403,Sla Kaet,"Sla Kaet, Commune,3 Vill",Point,306132.88453192555,1450788.5130988774,,,
Feature,2,Battambang,203,Bat Dambang,20306.0,Kdol Doun Teav,2030607.0,Thkov,204,Bat Dambang,20404,Kdol,"Kdol Doun Teav, Commune, 7 Vill",Point,306635.88661549112,1452863.512635397,,,
Feature,3,Kampong Cham,313,Prey Chhor,31301.0,Baray,3130102.0,Tuol Chambak,308,Prey Chhor,30808,Baray,Village,Point,526854.91273547511,1335173.3764184383,,,
Feature,3,Kampong Cham,313,Prey Chhor,31303.0,Chrey Vien,3130317.0,Prey Totueng,308,Prey Chhor,30806,Chrey Vien,Village,Point,527653.91359012935,1333007.3750659009,,,
Feature,3,Kampong Cham,313,Prey Chhor,31305.0,Kor,3130506.0,Ta Mout,308,Prey Chhor,30807,Kor,Village,Point,523314.90991552471,1338856.3783769885,,,
Feature,3,Kampong Cham,313,Prey Chhor,31306.0,Krouch,3130601.0,Ou Chrok,308,Prey Chhor,30809,Krouch,Village,Point,519320.90697289939,1342321.3801437221,,,
Feature,3,Kampong Cham,313,Prey Chhor,31307.0,Lvea,3130709.0,Lvea,308,Prey Chhor,30811,Lvea,Village,Point,520621.90880786371,1333148.3742318179,,,
Feature,2,Battambang,203,Bat Dambang,20307.0,Ou Mal,2030708.0,Andoung Pring,204,Bat Dambang,20408,Ou Mal,"Ou Mal, Commune, 10 Vill",Point,299995.87821034284,1444856.5191006328,,,
Feature,2,Battambang,203,Bat Dambang,20308.0,Voat Kor,2030806.0,Kampong Seima,204,Bat Dambang,20407,Voat Kor,"Voat Kor, Commune, 6 Vill",Point,304272.87770263536,1444087.514695222,,,
Feature,2,Battambang,203,Bat Dambang,20310.0,Svay Pao,2031001.0,Preaek Moha Tep,204,Bat Dambang,20402,Svay Pao,"Svay Pao,Commune, 4 Vill ,  Preaek Preah Sdach, Commune,8 Vill",Point,304961.88333862287,1449640.5142404563,,,
Feature,3,Kampong Cham,314,Srei Santhor,31405.0,Mean Chey,3140501.0,Veal,309,Srei Santhor,30908,Mean Chey,Mean Chey and Prek Por commune,Point,506594.90017741261,1308427.3545685802,,,
Feature,3,Kampong Cham,314,Srei Santhor,31409.0,Preaek Pou,3140901.0,Roka Tvear,309,Srei Santhor,30906,Preaek Pou,Prek Pou and Phteah Kandal commune,Point,512382.90493746445,1307570.3541758754,,,
Feature,3,Kampong Cham,314,Srei Santhor,31410.0,Preaek Rumdeng,3141010.0,Svay Ta Noan Ka,309,Srei Santhor,30902,Praek Rumdeng,Village,Point,527672.91618013766,1315782.3624583455,,,
Feature,3,Kampong Cham,314,Srei Santhor,31412.0,Svay Pou,3141201.0,Pou,309,Srei Santhor,30909,Svay Pou,Village,Point,509176.90250369336,1303858.3508818368,,,
Feature,3,Kampong Cham,314,Srei Santhor,31413.0,Svay Sach Phnum,3141302.0,Svay Kandal,309,Srei Santhor,30903,Svay Sach Phnum,Village,Point,519668.90980281442,1317714.3629080905,,,
Feature,3,Kampong Cham,315,Stueng Trang,31505.0,Me Sar Chrey,3150503.0,Bos Pou,301,Chamkar Leu,30111,Me Sar Chrey,"Bos Leu, Ou Leu, Kbarl Ou, Ou Beng and Trapeang Chhuk village",Point,544517.9186301392,1359668.3946999069,,,
Feature,3,Kampong Cham,315,Stueng Trang,31507.0,Peam Kaoh Sna,3150702.0,Peam Knong,304,Kroch Chhmar,30410,Peam Kaoh Sna,Village,Point,572716.9334950929,1359842.4036761264,,,
Feature,3,Kampong Cham,315,Stueng Trang,31510.0,Preaek Kak,3151004.0,Tnaot Ta Say,303,Kampong Cham,30320,Preaek Kak,Village,Point,557985.92723166524,1354982.3958295374,,,
Feature,3,Kampong Cham,313,Prey Chhor,31308.0,Mien,3130804.0,Trapeang Chhuk,308,Prey Chhor,30803,Mien,Village,Point,532409.91709231632,1331394.3747344911,,,
