type,properties/PCODE,properties/PNAME,properties/DCODE,properties/DNAME,properties/CCODE,properties/CNAME,properties/VCODE,properties/VNAME,properties/ODCODE,properties/ODNAME,properties/FACILITCOD,properties/FACILITNAM,properties/COVERNAME,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/PNAME_km,properties/VNAME_km,properties/FACILITNAM_km
Feature,2,Sihanoukville,204,Bavel,20404.0,Khnach Romeas,2040206.0,Khnach Romeas,201,Thmar Koul,20117,Khnach Romeas,,Point,277999.90226858167,1467054.5426897057,,,
Feature,2,Battambang,203,Bat Dambang,20301.0,Tuol Ta aek,2030102.0,O Takoam II,204,Bat Dambang,20406,Tuol Ta aek,,Point,303951.88121734676,1447581.5151874248,,,
Feature,2,Battambang,213,Koa Krolor,21301.0,Thibadey,2130104.0,Chhae Balang,202,Mong Russei,20207,Thibadey,,Point,312278.85696845519,1422231.5042142374,,,
Feature,22,Oddar Mean chey,2203,Chong Kal,220302.0,Chong kal,22030201.0,Chong Kal,2201,Samraong,220113,Pong ro,,Point,343641.96734553564,1553869.4559225547,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10201.0,Banteay Neang,1020103.0,Banteay Neang,101,Mongkol Borei,10115,Banteay Neang,"Banteay Neang, Commune, 19 Vill",Point,285295.9321090139,1494743.530649923,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10203.0,Chamnaom,1020305.0,Chamnaom Kaeut,101,Mongkol Borei,10112,Chamnaom,"Chamnaom, Commune, 17 Vill",Point,276571.92539717839,1487279.5417771994,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10204.0,Kouk Ballangk,1020401.0,Kouk Ballangk,101,Mongkol Borei,10120,Kouk Ballangk,"Kouk Ballangk, Commune, 8 Vill",Point,292297.92583848676,1490096.5240889341,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10205.0,Koy Maeng,1020503.0,Phlov Siem,101,Mongkol Borei,10118,Koy Maeng,"Koy Maeng, Commune, 11 Vill",Point,292657.93491970282,1498805.5219088732,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10206.0,Ou Prasat,1020609.0,Ou Snguot,101,Mongkol Borei,10114,Ou Prasat,"Ou Prasat, Commune , 8 Vill",Point,284879.92642160814,1489451.5321509731,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10207.0,Phnum Touch,1020701.0,Phnum Touch Tboung,101,Mongkol Borei,10119,Phnum Touch,"Phnum Touch, Commune,   12 Vill",Point,285410.91919609084,1482907.5326709372,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10208.0,Rohat Tuek,1020801.0,Pou Pir Daeum,101,Mongkol Borei,10103,Rohat Teuk,"Rohat Tuek, Commune, 13 Vill",Point,282171.93047185382,1492696.5344903616,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10210.0,Sambuor,1021006.0,Doun Loek,101,Mongkol Borei,10117,Sambuor,"Sambuor, Commune, 11 Vill",Point,307818.92103062465,1487862.5087620786,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10211.0,Soea,1021105.0,Bos Laok,101,Mongkol Borei,10111,Soea,"Soea, Commune, 13 Vill",Point,275946.91857641307,1481202.5434713552,,,
Feature,1,Banteay Meanchey,102,Mongkol Borei,10212.0,Srah Reang,1021205.0,Srah Reang,101,Mongkol Borei,10116,Srah Reang,"Srah Reang, Talom , Commune, 17 Vill",Point,290755.9300051406,1493774.5250000821,,,
Feature,1,Banteay Meanchey,103,Phnum Srok,10301.0,Nam Tau,1030105.0,Kouk Chas,103,Preah Net Preah,10313,Nam Tau,"Nam Taum Commune, 16 Vill",Point,326797.95390480489,1528883.4803577438,,,
Feature,1,Banteay Meanchey,103,Phnum Srok,10302.0,Paoy Char,1030205.0,Trapeang Thma Kandal,103,Preah Net Preah,10310,Paoy Char,"Paoy Char, Commune , 8 Vill",Point,317724.9527154098,1524016.4901384013,,,
Feature,1,Banteay Meanchey,103,Phnum Srok,10303.0,Ponley,1030301.0,Ta Vong,103,Preah Net Preah,10312,Ponley,"Ponley, 6 Vill",Point,308718.95461959555,1522844.4989434681,,,
Feature,1,Banteay Meanchey,103,Phnum Srok,10305.0,Srah Chik,1030502.0,Srah Chhuk Khang Lech,103,Preah Net Preah,10309,Srah Chik,"Srah Chik, Commune, 10 Vill",Point,320178.94827746897,1519997.4892693986,,,
Feature,1,Banteay Meanchey,103,Phnum Srok,10306.0,Phnum Dei,1030609.0,Trang,103,Preah Net Preah,10311,Phnom Dey,"Phnum Dei, SpeanTrean, Commune, 17 Vill",Point,323792.94617193041,1518894.4864071368,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10401.0,Chhnuor Mean Chey,1040107.0,Chhnuor,103,Preah Net Preah,10302,Chhnuor Mean Chey,"Chhnuor Mean Chey, Commune, 12 Vill",Point,295148.94412538002,1508233.5169427036,,,
