type,properties/PCODE,properties/PNAME,properties/DCODE,properties/DNAME,properties/CCODE,properties/CNAME,properties/VCODE,properties/VNAME,properties/ODCODE,properties/ODNAME,properties/COVERNAME,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10402.0,Chob Veari,1040201.0,Chob,103,Preah Net Preah,"Preah Netr Preah, -- Distric, 14 Commune, 152 Vill",Point,302890.94083833153,1506961.5094648411
Feature,1,Banteay Meanchey,105,Ou Chrov,10508.0,Paoy Paet,1050808.0,Prachea Thoam,102,Ou Chrov,"Ou Chrov, --,Distric , 15 Copmmune, 121 Vill",Point,239015.96487809028,1512324.5814062541
Feature,1,Banteay Meanchey,107,Thma Puok,10704.0,Thma Puok,1070404.0,Kasen,104,Thmar Puok,"Thma Puok, --  , Distric, 14 Commune, 127 Vill",Point,289449.9815567435,1542361.5104546642
Feature,1,Banteay Meanchey,102,Mongkol Borei,10209.0,Ruessei Kraok,1020914.0,Kaoh Kaev,101,Mongkol Borei,"Mongkol Borei, --- Distric, 19 Commune, 222 Vill",Point,285969.93581085978,1498285.529139305
Feature,2,Battambang,202,Thma Koul,20201.0,Ta Pung,2020102.0,Paoy Yong,201,Thmar Koul,"Thmar Koul, Bor Veal, Distic, 16 Commune, 17 Health Center 143 Vill",Point,293354.90023036837,1465956.5259377924
Feature,3,Kampong Cham,309,Krouch Chhmar,30905.0,Krouch Chhmar,3090503.0,Krouch Chhmar Leu,304,Kroch Chhmar - Stueng Trang,2 districts (15 communes),Point,567299.93086874182,1359215.4013030976
Feature,3,Kampong Cham,310,Memot,31008.0,Memot,3100811.0,Memot Phsar,305,Memut,commnune,Point,628508.99837495538,1307936.3992433231
Feature,3,Kampong Cham,311,Ou Reang Ov,31101.0,Ampil Ta Pok,3110117.0,Lekh Buon Kaeut,306,O Reang Ov - Kaoh Soutin,Ou Reang Ov and Koah Sotin district,Point,554818.940512178,1304145.3591840682
Feature,3,Kampong Cham,312,Ponhea Kraek,31205.0,Kaong Kang,3120502.0,Ta Hiev Leu,307,Ponhea Krek - Dambae,Commune,Point,595117.9735912804,1304507.3760351958
Feature,3,Kampong Cham,313,Prey Chhor,31303.0,Chrey Vien,3130317.0,Prey Totueng,308,Prey Chhor - Kang Meas,Commune,Point,527614.91356341215,1333009.3750613749
Feature,3,Kampong Cham,314,Srei Santhor,31409.0,Preaek Pou,3140901.0,Roka Tvear,309,Srei Santhor - Kang Meas,Srei Santhor and Kang Meas district,Point,512363.90492342412,1307548.3541564115
Feature,6,Kampong Thom,603,Stueng Saen,60302.0,Kampong Thum,6030207.0,Phum Ti Prampir,602,Kampong Thom,5 districts,Point,487220.89102243708,1405161.4088544722
Feature,2,Battambang,203,Bat Dambang,20310.0,Svay Pao,2031001.0,Preaek Moha Tep,204,Bat Dambang,"Bat Dambang, Banan, Rotonak Mondol, Samlot District, 32 Commune, 238 Vill",Point,304618.88322040474,1449536.5145819844
Feature,2,Battambang,206,Moung Ruessei,20601.0,Moung Ruessei,2060110.0,Moung,202,Mong Russei,"Moung Ruessei, Koas Kro lor, Distric, 17 Commune, 161 Vill",Point,331628.85203834163,1412509.4842868091
Feature,3,Kampong Cham,316,Tboung Khmum,31619.0,Suong,3161907.0,Suong Kaeut,310,Tbong Khmum - Kroch Chhmar,Commune,Point,572092.95017723285,1315981.3747320811
Feature,6,Kampong Thom,601,Baray,60102.0,Ballangk,6010212.0,Trapeang Svay,601,Baray and Santuk,Baray and Santuk district,Point,513205.90044591908,1380425.399904423
Feature,6,Kampong Thom,608,Stoung,60805.0,Kampong Chen Tboung,6080503.0,Kampong Kdei,603,Stong,"Stoung, Prasat Balang district",Point,453482.88718351437,1430701.4199181348
Feature,10,Kratie,1001,Chhloung,100101.0,Chhloung,10010103.0,Chrouy Thma Leu,1001,Chhlong,"Chhloung, Snuol, Preak Brasab District_17 Commune_100 Village",Point,605877.95363144379,1354835.4168291923
Feature,10,Kratie,1002,Kracheh,100209.0,Kracheh,10020902.0,Kracheh,1002,Kratie,"Kracheh, Sambo, Preak Prasab, Snoul District",Point,610929.94185172091,1379445.4318185933
