type,properties/PCODE,properties/PNAME,properties/PNAME_km,properties/DCODE,properties/DNAME,properties/CCODE,properties/CNAME,properties/VCODE,properties/VNAME,properties/VNAME_km,properties/ODCODE,properties/ODNAME,properties/FACILITCOD,properties/FACILITNAM,properties/FACILITNAM_km,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,10,Kratie,,1003,Preaek Prasab,100301.0,Chambak,10030106.0,Stueng Thum,,1001,Chhlong,10010201,Stueng Thum,,Point,589482.93925619079,1366181.4142398813
Feature,10,Kratie,,1005,Snuol,100501.0,Khsuem,10050107.0,Srae Roneam,,1002,Kratie,10021501,Srae Roneam,,Point,654847.977726485,1357465.4524768086
Feature,10,Kratie,,1005,Snuol,100504.0,Srae Char,10050404.0,Mean  Chey,,1002,Kratie,10021401,Doun Meas,,Point,644704.99627385463,1326873.4255161176
Feature,10,Kratie,,1005,Snuol,100505.0,Svay Chreah,10050508.0,Rumpuk,,1002,Kratie,10021301,Rumpuk,,Point,640356.97419863311,1352191.4381302719
Feature,11,Mondul Kiri,,1101,Kaev Seima,110103.0,Srae Chhuk,11010302.0,Chak Cha,,1101,Sen Monorom,110108,Srae Chhouk,,Point,687515.98356417101,1368201.4876716963
Feature,11,Mondul Kiri,,1101,Kaev Seima,110104.0,Srae Khtum,11010401.0,Ou Am,,1101,Sen Monorom,110108,Ou Am,,Point,705301.02277430939,1339600.4911161829
Feature,11,Mondul Kiri,,1102,Kaoh Nheaek,110202.0,Ou Buon Leu,11020201.0,Tuol,,1101,Sen Monorom,110108,Tuol,,Point,718883.91708595084,1437949.5399654163
Feature,11,Mondul Kiri,,1102,Kaoh Nheaek,110203.0,Roya,11020301.0,Roya,,1101,Sen Monorom,110108,Royor,,Point,721472.902403938,1450921.5434952255
Feature,11,Mondul Kiri,,1103,Ou Reang,110301.0,Dak Dam,11030101.0,Pu Traeng,,1101,Sen Monorom,110108,Dak Dam,,Point,750854.00243853242,1374342.5642178748
Feature,11,Mondul Kiri,,1103,Ou Reang,110302.0,Saen Monourom,11030202.0,Andoung Kraloeng,,1101,Sen Monorom,110108,AnDaung Kraloeng,,Point,726633.00685420434,1362956.5284415337
Feature,11,Mondul Kiri,,1104,Pechr Chenda,110401.0,Krang Teh,11040101.0,Krang Teh,,1101,Sen Monorom,110108,Krang Teh,,Point,755102.97186641791,1398208.5779032025
Feature,11,Mondul Kiri,,1104,Pechr Chenda,110402.0,Pou Chri,11040202.0,Chrey Yang,,1101,Sen Monorom,110108,Pou Chri,,Point,743339.96804687439,1398874.5626426868
Feature,11,Mondul Kiri,,1104,Pechr Chenda,110403.0,Srae Ampum,11040302.0,Pu Radaet,,1101,Sen Monorom,110108,Srae Ampom,,Point,754438.98495690245,1388322.5740747352
Feature,11,Mondul Kiri,,1105,Saen Monourom,110504.0,Romonea,11050403.0,Pu Lung,,1101,Sen Monorom,110108,Pu Lung,,Point,743105.99035037041,1381439.556774636
Feature,13,Preah Vihear,,1304,Kuleaen,130403.0,Thmei,13040301.0,Thnal Baek,,1301,Preah Vihear,13010902,Thnal Baek,,Point,477769.90222109744,1528299.4072203601
Feature,13,Preah Vihear,,1307,Tbaeng Mean Chey,130701.0,Kampong Pranak,13070107.0,Srah Chhuk,,1301,Preah Vihear,13011301,Psar Kampong Pranak,,Point,497147.89574794983,1526916.4065050024
Feature,15,Pursat,,1506,Veal Vaeng,0.0,O Sam,15060101.0,Ou Saom,,1502,Sampov Meas,15022201,O Sam,,Point,305627.76692546753,1335978.4762511475
Feature,15,Pursat,,1506,Veal Vaeng,150603.0,Anglong Reap,15060303.0,Chamkar Chrey  Cheung,,1502,Sampov Meas,15022203,Anglong Reap,,Point,284058.77888966561,1358140.5125249827
Feature,16,Ratanak Kiri,,1604,Koun Mom,160402.0,Srae Angkrong,16040201.0,Phum Muoy,,1601,Rattanakiri,16011101,Srae Angkrong,,Point,677791.86708147672,1489607.4957140905
Feature,16,Ratanak Kiri,,1604,Koun Mom,160404.0,Toen,16040404.0,Kam Bak,,1601,Rattanakiri,16011103,Toen,,Point,699590.83924577804,1513149.5109899638
Feature,16,Ratanak Kiri,,1605,Lumphat,160506.0,Seda,16050607.0,Samot Kraom,,1601,Rattanakiri,16010302,Seda,,Point,736929.84790832084,1495823.5567204575
Feature,16,Ratanak Kiri,,1606,Ou Chum,160602.0,Chan,16060206.0,Khmaeng,,1601,Rattanakiri,16010201,Pouy,,Point,718657.80571558583,1538289.5217439807
Feature,16,Ratanak Kiri,,1606,Ou Chum,160606.0,Sameakki,16060604.0,Nha,,1601,Rattanakiri,16010202,Sameakki,,Point,727749.81617881858,1525466.5370565807
Feature,16,Ratanak Kiri,,1607,Ou Ya Dav,160701.0,Bar Kham,16070106.0,Pril,,1601,Rattanakiri,16010503,Bar Kham,,Point,748086.82966790278,1508179.5671618779
Feature,16,Ratanak Kiri,,1607,Ou Ya Dav,160706.0,Saom Thum,16070602.0,Saom Trak,,1601,Rattanakiri,16010501,Sesant,,Point,759224.81286195514,1518371.5780673076
Feature,16,Ratanak Kiri,,1607,Ou Ya Dav,160707.0,Ya Tung,16070701.0,Ten Ngol,,1601,Rattanakiri,16010502,Ya Tung,,Point,762122.81838321779,1513354.5835791943
Feature,16,Ratanak Kiri,,1609,Veun Sai,160908.0,Pak Kalan,16090801.0,Pa Kalan,,1601,Rattanakiri,16010703,Pa Kalan,,Point,689714.81524605153,1541716.4908280224
Feature,9,Koh Kong,,903,Kaoh Kong,90302.0,Kaoh Kapi,9030201.0,Phum Ti Muoy,,901,Smach Mean Chey,90120,Kaoh Kapi,,Point,283334.6715091262,1267227.4451231118
Feature,9,Koh Kong,,903,Kaoh Kong,90303.0,Ta Tai Kraom,9030302.0,Anlong Vak,,901,Smach Mean Chey,90121,Ta Tai Kraom,,Point,296157.69791642617,1279217.4419209405
Feature,4,Kampong Chhnang,,408,Tuek Phos,40806.0,Krang Skear,4080601.0,Krang Skear,,403,Boribo,4030201,Kdol,,Point,421374.84975843481,1353052.4019680759
Feature,13,Preah Vihear,,1302,Chhaeb,130202.0,Chhaeb Pir,13020201.0,Kunakpheap Muoy,,1301,Preah Vihear,13010202,Kunkpheap,,Point,556824.87484615727,1531246.4131952492
Feature,13,Preah Vihear,,1302,Chhaeb,130207.0,Kampong Sralau Muoy,13020701.0,Kampong Sralau,,1301,Preah Vihear,13010201,Kampong Sralau,,Point,584097.85422455729,1557259.4118735967
Feature,15,Pursat,,1506,Veal Vaeng,150602.0,Krapeu Pi,15060202.0,Krapeu Pi Kraom,,1502,Sampov Meas,15022202,Krapeu Pi,,Point,296261.80886774638,1380007.5087139774
